Need,Motive,Mood
1,-1
-56,56
-5,5,
50,-50
64,-64
-39,39
-24,24
-12,12
39,-39
-25,25
-44,44
-61,61
46,-46
-49,49
53,-53
-32,32
38,-38
52,-52
83,-83
27,-27
-54,-54
-23,23
-68,68
58,-58
22,-22
-46,46
1,-1
-26,26
37,-35
17,-17
-34,34
-1,1
-16,16
-13,13
-71,71
55,-55
59,-59
-52,52
-76,76
-33,33
-37,37
-50,50
-65,65
74,-74
76,76
-51,51
-42,42
80,-80
-59,59
100,-100
96,-96
37,-37
-100,100
-55,55
4,-4
65,-65
63,-63
-48,48
-18,18
-75,75
43,-43
51,-51
30,30
33,-33
-81,81
-30,30
29,-29
28,-28
79,-79
61,-61
-40,40
91,-91
41,-41
20,-20
-98,98
-93,93
68,-68
35,-35
-82,82